06TT,6 Mile Airpark
06TX,Diamond N Ranch Airport
06VA,Mount Horeb Field
06WA,N A Degerstrom Yard Heliport
06WI,Young Private Airport
06WN,Western Airpark
06XA,J & W Windy Hill Airport
06XS,Campbell Field
06Y,Herman Municipal Airport
07AA,Pan Lake Strip Airport
07AL,Tac X Stagefield Army Heliport
07AR,Morrilton Airport
07AZ,John C Lincoln Hospital Heliport
07B,Blue Hill Airport
07CA,West Side Hospital Heliport
07CL,Richvale Airport
07CO,Comanche Creek Airport
07CT,TNT Heliport
07D,Tackaberry Airport
07FA,Ocean Reef Club Airport
07FD,Flying G Ranch STOLport
07FL,Southwest Florida Regional Medical Center Heliport
07GA,Alcovy Airport
07I,Lake Monroe Seaplane Base
07IA,Hoskins Landing
07ID,Interstate Airport
07II,St Vincent Jennings Hospital Heliport
07IN,Gray Airport
07K,Central City Municipal - Larry Reineke Field
07KS,Heape Field
07KY,Blue Lick Airport
07LA,Air Oil Inc Nr 1 Heliport
07LS,Louisiana State Police Troop F Heliport
07MA,West Pond Heliport
07MD,Baugher's Orchard Airport
07ME,Westbrook Heliport
07MI,Scott Airstrip
07MN,Dairyview Airport
07MO,Lake Sexton Airport
07MT,Glasgow Industrial Airport
07N,Bermudian Valley Airpark
07NC,Hawks Meadow Airport
07NH,Diving Rock Seaplane Base
07NJ,Hackensack UMC Palisades Heliport
07NV,Border Line Farm Airport
07NY,Mmc Heliport
07OH,Tennessee Gas Heliport
07OK,Pleasant Valley Airport
07OR,Bruce's Airport
07PN,Folmar Airport
07PR,Advanced Public Health of Isabela Heliport
07SN,Churchill Airport
07TA,Salaika Aviation Airport
07TE,Cuddihy Field
07TN,Corntassel Airport
07TS,Cross-Country Estates Airport
07TX,Pecks Heliport
07UT,E Northrop Grumman Airport
07VA,Alpha Hotel Airport
07VT,Meadow STOLport
07WA,Multicare Deaconess Hospital Heliport
07WI,Bartell Strip
07WY,Stallions Airport
07XA,Luecke Heliport
07XS,Allen Ponderosa Heliport
07Y,Hill City-Quadna Mountain Airport
08AK,Fisher Airport
08AL,Little Lagoon Seaplane Base
08AR,Crittenden Regional Hospital Heliport
08AZ,Mesa Police Heliport
08B,Merrymeeting Field
08CA,PG&E Placerville Service Center Heliport
08CL,Kistler Ranch Airport
